RNK,TITLE,RATE,DIRECTOR,YEAR,MAIN GENRE,SUB-GENRE,GENRE,GENRE_name,sub
79,The Revenant,7,Alejandro Gonzalez Inarritu,2015,Drama,Adventure,2,,
80,Prisoners,7,Denis Villeneuve,2013,Mystery,Crime,1,,
81,Bird Box,7,Sussane Bier,2018,Horror,Sci-Fi,2,,
82,The Fighter,7,David Owen Russell,2010,Biography,Sport,5,,
83,8 Mile,7,Curtis Hanson,2002,Drama,Music,2,,
84,Hamilton,7,Thomas Kail,2020,Biography,Musical,5,,
85,Nocturnal Animals,7,Tom Ford,2016,Drama,Thriller,2,,
86,Vanilla Sky,7,Cameron Crowe,2001,Mystery,Romance,1,,
87,Donnie Darko,7,Richard Kelly,2001,Sci-Fi,Mystery,3,,
88,Time Lapse,7,Bradley King,2014,Sci-Fi,Thriller,3,,
89,The Silence Of The Lambs,7,Jonathan Demme,1991,Thriller,Crime,12,,
90,3:10 to Yuma,7,James Mangold,2007,Action,Crime,8,,
91,Thor 3: Ragnarok,7,Taika Waititi,2017,Fantastic,Action,9,,
92,Le Goût des Merveilles,7,Éric Besnard,2015,Comedy,Romance,10,,
93,The Devil's Advocate,7,Tyler Hackford,1997,Thriller,Mystery,12,,
94,John Wick: Chapter 3 - Parabellum,7,Chad Stahelski,2019,Action,Crime,8,,
95,Revolver,7,Guy Ritchie,2005,Action,Crime,8,,
96,John Wick,7,Chad Stahelksi,2014,Action,Crime,8,,
97,Yip Man,7,Wilson Yip,2008,Biography,Action,5,,
98,Source Code,7,Duncan Jones,2011,Sci-Fi,Action,3,,
99,Enemy,7,Denis Villeneuve,2013,Mystery,Thriller,1,,
100,John Wick: Chapter 2,7,Chad Stahelski,2017,Action,Crime,8,,
101,Wall-E,7,Andrew Stanton,2008,Animation,Adventure,4,,
102,Cars 3,7,Brian Fee,2017,Animation,Sport,4,,
103,Rocky II,7,Sylvester Stallone,1979,Drama,Sport,2,,
104,Kung Fu Panda,7,John Stevenson,2008,Animation,Adventure,4,,
105,Ice Age,7,Chris Wedge,2002,Animation,Adventure,4,,
106,Dark Waters,7,Todd Haynes,2019,Biography,Drama,5,,
107,Guardians Of The Galaxy,7,James Gunn,2014,Fantastic,Action,9,,
108,Black Panther,7,Ryan Coogler,2018,Fantastic,Action,9,,
109,Kick-Ass 2,7,Jeff Wadlow,2013,Action,Comedy,8,,
110,"Monsters, Inc.",7,Pete Docter,2001,Animation,Adventure,4,,
111,The 40 Year Old Virgin,7,Judd Apatow,2005,Comedy,Romance,10,,
112,127 Hours,7,Danny Boyle,2010,Biography,Drama,5,,
113,Guardians Of The Galaxy Vol. 2,7,James Gunn,2017,Fantastic,Action,9,,
114,Captain America 3: Civil War,7,Joe Russo,2016,Fantastic,Action,9,,
115,Monsters University,7,Dan Scanlon,2013,Animation,Adventure,4,,
116,Limitless,7,Neil Burger,2011,Sci-Fi,Thriller,3,,
117,Parasite,7,Bong Jon-Hoo,2019,Drama,Comedy,2,,
118,Coach Carter,7,Thomas Carter,2005,Biography,Sport,5,,
119,A Beautiful Mind,7,Ron Howard,2001,Biography,Drama,5,,
